Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,30,12,734,0,0.61,0.12,20,0,0,19.6,0,0,0,35,47.6,593,252.7,17.9,21.6,14,18.5,2.8,6.34,0,0.37,2.2,0.49,0.24,2.93,47.6,0.12,1.34,0.24,0,0,0,0,2.2,0.61,66.7,0,0,0
MF,27,6,511,0,0.88,0,0,0,0,27.1,0.18,0,0,33.7,41.1,786,198.1,10.2,11.4,14,15.4,8.95,13.5,0.18,1.4,2.46,0.53,0.35,2.63,41.1,0,0.88,0,0,0,0,0,1.93,0.18,100,0,0,0
MF,33,10,493,0.18,0.91,0.36,40,0.2,0.5,17.5,0,0,0,49.3,60.9,884.2,248.2,21.1,24,22.7,25.8,4.73,9.64,0,0.91,3.82,0.73,0.18,5.82,60.9,0.18,1.09,0,0,0,0,0,3.64,1.45,75,0,0,0
DF,23,6,510,0,0.53,0,0,0,0,14.3,0,0,0,53.5,60.9,1195.8,328.1,13.9,15.6,29.3,31.2,10,13.5,0,0.18,6.67,0.18,0,4.21,60.9,0.35,0.35,0,0,0,0,0,1.23,1.05,0,0,0,0
FWMF,20,5,41,0,0,0,0,0,0,0,0,0,0,16,24,224,92,10,10,6,10,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,6,33.3,0,0,0
GK,29,1,62,0,0,0,0,0,0,0,0,0,0,25.7,37.1,840,580,8.57,8.57,5.71,5.71,11.4,22.9,0,0,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,1.43,0
MFFW,26,12,818,0.22,1.21,0.77,63.6,0.18,0.29,8.5,0,0,0,20.5,28.6,264.6,77.1,13.6,17.3,5.05,7.58,0.66,1.21,0,0.88,1.32,0.66,0.11,2.64,28.6,0,0.44,0.11,0.11,0,0.11,0,2.64,4.4,53.6,0,0,0
FW,25,12,785,0.11,1.38,0.57,41.7,0.08,0.2,15.1,0,0,0,16,21.7,277.9,53,8.39,10.1,5.52,6.78,1.84,3.1,0.11,0.92,1.26,0.92,0.34,1.95,21.7,0,0,0.11,0,0,0,0,1.03,3.56,39.1,0,0,0
MFFW,30,11,484,0.19,1.85,0.37,20,0.1,0.5,18.6,0,0,0,33,39.1,560.2,159.6,16.5,18.3,11.5,13,3.89,5.37,0,1.67,2.04,2.96,0.74,5.56,39.1,0,0,0,0.37,0,0,0,1.67,2.96,36.4,0,0,0
FW,33,10,867,0.73,1.67,0.73,43.8,0.25,0.57,15.2,0,0.31,0.31,18.4,25.8,274.7,45.4,10.5,13.5,6.04,7.92,1.25,2.71,0,1.46,0.83,0.73,0.1,1.15,25.8,0.52,0.21,0.21,0.31,0,0.1,0,0.73,3.75,50,0,0,0
MF,28,11,947,0.19,1.05,0.38,36.4,0.09,0.25,28.7,0.19,0.1,0.1,37.4,49.5,947.6,277.3,8.1,9.24,17.8,20.1,11.2,19.5,0,1.62,3.33,0.76,0,3.81,49.5,0.67,1.71,0.1,0,0,0,0,1.62,0.29,50,0,0,0
GK,28,5,450,0,0,0,0,0,0,0,0,0,0,27,35.4,674.4,350,8.6,8.6,11,11,7.4,15.8,0,0,0.6,0,0,0,35.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0
MF,19,1,15,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,10,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,5,100,0,0,0
MF,32,10,281,0.32,1.94,0.65,33.3,0.17,0.5,18.2,0,0,0,38.7,46.5,698.7,173.5,16.5,18.1,15.8,17.7,4.84,6.45,0,0,2.9,0.97,0.32,4.19,46.5,0,0.65,0,0.32,0,0,0,2.26,2.9,25,0,0,0
FW,24,8,297,0.3,3.03,0,0,0,0,10.7,0,0.3,0.3,14.8,18.5,192.1,19.4,9.39,11.2,3.64,4.24,0.61,0.91,0.3,0.91,0,0.61,0,1.21,18.5,0,0,0,0,0,0,0,0.91,6.97,20,0,0,0
MFDF,24,4,255,0,1.07,0.36,33.3,0,0,16.8,0,0,0,27.5,38.9,498.9,192.5,12.1,14.6,12.5,14.6,2.86,6.43,0,1.43,1.07,1.43,0,4.29,38.9,0,1.43,0,0,0.71,0,0,3.21,2.86,50,0,0,0
MFFW,27,6,399,0,1.82,0.68,37.5,0,0,18.2,0,0,0,15.2,21.1,215.2,60.5,10.2,12.3,3.18,5,1.36,2.27,0,1.82,0.45,0.91,0.45,1.36,21.1,0.23,0.68,0,0.68,0,0,0,0.91,4.32,75,0,0,0
MF,25,9,458,0,1.76,0.59,33.3,0,0,26.7,0,0,0,41.8,51,812.7,289.8,17.5,20.2,17.6,20,6.27,9.41,0,0.59,4.9,1.18,0.2,5.88,51,0.2,0.98,0,0,0,0,0,3.92,0.2,60,0,0,0
GK,33,5,450,0,0,0,0,0,0,0,0,0,0,24.2,35.6,799,510,4.4,4.4,10,10.2,9.4,20.6,0,0,0.6,0,0,0,35.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0
FWMF,26,7,66,1.43,5.71,2.86,50,0.25,0.5,21.8,0,0,0,68.6,80,1218.6,218.6,35.7,38.6,27.1,27.1,5.71,14.3,1.43,5.71,5.71,2.86,0,5.71,80,0,0,0,0,0,0,0,1.43,8.57,0,0,0,0
MF,21,10,450,0,1.4,0.4,28.6,0,0,25.2,0.2,0,0,17.4,25.6,362.6,103.8,7.4,8.4,6,9.8,3.6,6.4,0,1.2,1.8,0.6,0.2,1.8,25.6,0.2,0.2,0,0.4,0,0,0,0.8,0.8,66.7,0,0.2,0
MF,20,5,166,0,1.67,0,0,0,0,28,0,0,0,58.3,63.9,1170,227.8,21.7,22.8,26.1,27.2,9.44,12.8,0,0.56,4.44,0,0,2.78,63.9,0,1.67,0,0,0,0,0,1.11,0.56,0,0,0,0
FW,35,10,826,0.65,1.85,0.87,47.1,0.29,0.63,19.2,0.22,0.11,0.22,25.5,32.8,433.4,100.8,13.2,16.4,8.37,10.4,3.04,4.13,0.11,1.96,2.61,1.74,0,3.04,32.8,0.33,0.33,0,0.43,0.11,0,0,0.65,5.11,36.4,0,0,0
DF,22,5,179,0,1,0.5,50,0,0,14.2,0,0,0,45,51.5,834.5,219.5,14,16.5,26,26.5,4.5,7.5,0.5,0.5,1.5,0.5,0,2,51.5,0.5,1.5,0,0,0,0,0,3.5,2,50,0,0,0
DF,26,9,394,0,0.91,0.45,50,0,0,21.9,0,0,0,35.2,45.2,622.3,205.5,17.5,19.1,12.7,15.5,3.86,6.59,0,1.36,2.5,2.27,0.68,4.32,45.2,0,0.45,0.23,0.23,0,0,0,3.64,2.05,45.8,0,0,0
FW,33,4,214,0.42,1.67,0.83,50,0.25,0.5,16.3,0,0,0,13.8,18.3,205.4,42.9,9.17,11.3,4.17,5.42,0.42,1.25,0,0.83,0.83,0.83,0,1.67,18.3,0,0.83,0,0,0,0,0,0,3.33,100,0,0,0
DF,33,1,9,0,10,0,0,0,0,12,0,0,0,20,20,380,50,0,0,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0
GK,25,10,900,0,0,0,0,0,0,0,0,0,0,24.6,35.9,788.8,473,2.7,2.7,10.1,10.1,11.6,22.9,0,0,0.6,0,0,0,35.9,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0.1
DF,28,10,836,0,0.11,0,0,0,0,18.4,0,0,0,41.9,55.1,795.2,357.5,17.2,18.8,19.2,24.1,5.38,10,0.22,0.75,2.69,0.97,0.54,4.62,55.1,0,0.65,0,0,0,0,0,0.75,0.32,57.1,0,0,0
DF,28,1,44,0,0,0,0,0,0,0,0,0,0,16,32,302,74,6,8,8,14,2,10,0,0,0,0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0
DF,29,4,260,0,0,0,0,0,0,0,0,0,0,32.1,45.5,543.8,224.8,13.8,15.9,16.2,22.4,1.72,4.14,0,0.69,2.07,1.03,0.69,2.07,45.5,0,1.03,0,0,0,0,0,3.79,0,25,0,0,0
MF,31,10,713,0.25,1.52,1.01,66.7,0.08,0.13,27.1,0,0.13,0.13,30.9,39.6,716.2,178.7,10.8,12.4,12,15.1,7.72,10.9,0.13,1.01,4.05,0.63,0.25,3.54,39.6,0.25,0.89,0,0,0.13,0,0,1.14,1.27,53.3,0,0,0
FWMF,28,10,597,0.45,3.18,1.06,33.3,0.1,0.29,22.8,0,0.15,0.3,15.3,28.6,310.6,88.8,6.97,10.2,5,9.09,3.03,7.58,0.15,1.36,0.91,1.82,0.76,2.12,28.6,0.15,0.91,0.15,0,0,0,0,0.91,3.48,53.3,0,0,0
DF,36,8,636,0.14,0.28,0.14,50,0.5,1,1.6,0,0,0,23.9,28.5,506.2,170.7,6.76,7.75,13.7,15.2,3.24,4.93,0,0,0.7,0.14,0,1.27,28.5,0,0.56,0,0,0,0,0,1.41,0.28,0,0,0.28,0
FW,25,11,437,0.61,2.86,1.22,42.9,0.21,0.5,11.1,0,0,0,14.1,17.8,185.1,17.6,8.57,10.6,3.88,4.69,0.41,0.61,0,1.02,0.41,0.2,0.2,0.41,17.8,0,0.41,0.2,0.41,0,0,0,1.02,4.69,40,0,0,0
DF,20,5,190,0,1.43,0,0,0,0,11.9,0,0,0,19,29,420.5,95.7,8.1,10,7.62,9.52,2.86,6.67,0,0,0.48,0,0,1.9,29,0.48,1.43,0,0,0,0,0,2.38,1.9,0,0,0,0
FWMF,31,11,728,0,0.62,0.37,60,0,0,15.2,0,0,0,21.1,25.8,336,70.4,10.7,11.9,8.15,9.88,1.73,2.47,0.12,1.48,0.99,0.25,0.25,1.36,25.8,0,0.12,0.49,0.37,0,0,0,2.96,2.22,52,0,0,0
DF,27,7,275,0,0.32,0.32,100,0,0,33.5,0,0,0,53.9,60.3,1235.5,322.3,14.2,14.8,28.4,29.4,11.3,16.1,0,0,4.19,0,0,2.9,60.3,0.32,0.97,0,0,0,0,0,1.94,0,0,0,0,0
DF,31,4,141,0,1.88,0,0,0,0,17,0,0,0,38.8,49.4,713.1,316.3,16.3,18.1,17.5,20,4.38,8.75,0.63,0.63,3.75,3.13,0.63,5.63,49.4,1.25,1.88,0.63,0,0,0,0,1.25,3.13,66.7,0,0,0
MFFW,27,8,281,0,3.55,1.29,36.4,0,0,10.3,0,0,0,15.8,26.1,261.6,70.6,7.74,11.9,5.81,9.35,1.61,2.9,0,1.94,2.58,0,0,1.94,26.1,0,0.97,0,0,0.32,0,0,0.97,7.74,33.3,0,0,0
DF,33,9,537,0,0.5,0.17,33.3,0,0,22.2,0,0,0,60.2,71.7,983,356.8,28.2,30.8,27.8,31.5,3.17,7.67,0,1.33,2,1.33,0.17,5.5,71.7,0,1.33,0,0,0,0,0,2.5,2.33,66.7,0,0,0
MF,26,8,323,0,0.28,0,0,0,0,29.6,0,0,0,29.4,35.6,576.9,141.1,11.4,13.1,14.2,15.3,3.61,6.94,0,0,3.06,0.28,0.28,1.94,35.6,0.28,1.67,0,0.28,0,0,0,3.33,0,33.3,0,0,0
DF,26,10,900,0.1,0.2,0.2,100,0.5,0.5,6.5,0,0,0,37.4,42.5,840.1,267.5,10.2,10.3,19.4,21.9,7.4,9.9,0,0.3,1.5,0.2,0.1,1.6,42.5,0.4,0.3,0,0,0,0,0,0.7,0.4,50,0,0,0
DF,22,1,90,0,2,0,0,0,0,8,0,0,0,56,61,1420,368,9,9,28,30,19,22,1,0,2,0,0,2,61,0,1,0,0,0,0,0,1,2,0,0,0,0
GK,30,11,990,0,0,0,0,0,0,0,0,0,0,22.3,30.8,795.5,528.5,2.64,2.64,8.91,9.09,10.5,18.9,0,0.09,0.82,0,0,0,30.8,0.09,1.27,0,0,0,0,0,0,0,0,0,0.09,0
DF,21,10,749,0.24,0.6,0.36,60,0.4,0.67,15.6,0,0,0,44.1,51.3,987.7,368.8,12.2,13.6,22.2,24.7,9.52,12.3,0,0.12,4.94,0.48,0,3.73,51.3,0,0.84,0,0,0.12,0,0,1.57,0.96,0,0,0,0
MFFW,21,11,546,0.66,2.95,1.48,50,0.22,0.44,19.7,0,0,0,20.5,27.9,365.4,104.4,9.67,11.8,7.38,9.34,2.46,3.93,0,1.31,2.79,1.15,0,3.28,27.9,0.49,0.82,0.49,0.33,0.16,0,0,0.49,5.08,70.6,0.16,0,0
DF,27,2,96,0,1.82,0,0,0,0,23.8,0,0,0,31.8,46.4,701.8,437.3,11.8,16.4,9.09,11.8,10,16.4,0,1.82,6.36,1.82,0.91,7.27,46.4,0,4.55,0,0,0,0,0,3.64,1.82,0,0,0,0
FWMF,25,11,681,0.26,1.97,0.53,26.7,0.13,0.5,16.6,0.13,0,0,16.8,26.7,286.2,88.2,8.42,10.9,5.39,8.68,2.11,4.61,0.26,1.05,0.39,1.32,0.79,1.58,26.7,0.13,0.53,0.39,0,0,0,0,0.92,3.82,41.9,0,0,0
DF,28,4,211,0,0.87,0.43,50,0,0,9.1,0,0,0,37.4,43.9,760.9,249.1,13.9,16.5,17,18.7,6.52,8.7,0,0,2.17,0.43,0,1.74,43.9,0,0.87,0,0,0,0,0,3.04,1.3,100,0,0,0
DF,29,2,126,0,0,0,0,0,0,0,0,0,0,37.1,38.6,769.3,190,11.4,11.4,19.3,20,5.71,6.43,0,0,1.43,0,0,2.14,38.6,0,0.71,0,0,0,0,0,2.86,0,100,0,0,0
MF,21,5,46,0,0,0,0,0,0,0,0,0,0,42,50,732,142,16,16,18,26,6,6,0,4,2,0,0,2,50,0,0,0,0,0,0,0,8,4,0,0,0,0
MF,18,1,21,0,0,0,0,0,0,0,0,0,0,45,70,985,120,15,15,20,35,10,10,0,0,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
MFFW,23,11,530,0.17,2.54,0.51,20,0.07,0.33,23.2,0.68,0,0,22.4,30.5,383.1,124.2,11.4,13.6,8.64,10.8,1.86,4.07,0,1.36,1.53,0.34,0,2.2,30.5,0,0.68,0.17,0.17,0,0,0,1.02,2.37,46.7,0,0,0
MF,31,3,59,0,0,0,0,0,0,0,0,0,0,25.7,31.4,408.6,80,17.1,18.6,5.71,7.14,2.86,2.86,1.43,1.43,1.43,0,0,0,31.4,0,0,1.43,0,0,0,0,1.43,4.29,50,0,0,0
DF,22,9,468,0,1.15,0.38,33.3,0,0,24.7,0,0,0,43.8,55,818.1,261.5,21.2,23.7,17.1,20.2,5,8.65,0,0.77,2.12,0.96,0,4.23,55,0.19,0.58,0,0,0,0,0,1.73,1.54,35.7,0,0,0
DF,24,11,930,0,0.78,0.19,25,0,0,20,0,0,0,46.3,57.8,927.4,318.1,15.7,18.2,23.3,27.5,6.89,10.8,0.1,1.17,3.88,1.07,0.68,5.44,57.8,0,1.26,0,0.19,0,0,0,2.14,1.55,42.9,0,0,0
MFFW,19,4,216,0.42,1.67,0.83,50,0.25,0.5,17.6,0,0,0,25,30.8,368.3,79.6,13.3,14.6,8.75,11.7,1.67,2.92,0,0.42,1.67,1.25,0,2.92,30.8,0,0.83,0,0.83,0,0,0,1.67,1.67,0,0,0,0
DF,19,9,698,0,0.26,0,0,0,0,27.4,0,0,0,60,65.5,1027.9,220.1,30.1,32.6,24.5,26,4.87,5.77,0.38,0.77,3.21,0.51,0.38,1.03,65.5,0.13,0.51,0.13,0,0,0,0,2.05,1.67,37.5,0,0,0
DF,20,9,635,0,0.14,0,0,0,0,7.1,0,0,0,32.8,39.3,506.6,167.3,17.6,19.4,13.4,16.1,1.27,2.25,0,0.85,0.99,1.13,0.42,2.82,39.3,0,0.42,0,0.14,0,0,0,2.39,1.55,75,0.14,0,0
MF,18,4,47,0,2,0,0,0,0,25,0,0,0,56,72,1130,200,28,36,14,18,14,16,0,0,6,2,0,4,72,2,2,0,0,0,0,0,4,4,100,0,0,0
DF,23,12,930,0,0.1,0,0,0,0,9,0,0,0,44.6,51.5,972.5,268.1,10.5,12.1,24.7,26.8,8.64,11.3,0.1,0.1,2.33,0,0,1.75,51.5,0,0.68,0,0,0,0,0,2.52,0.29,40,0,0,0.1
DF,30,11,990,0,0.36,0.09,25,0,0,15.9,0,0,0,47.7,60.5,885.2,368.9,19.9,21.7,21.4,24.8,5.73,11.6,0,1.36,2.91,1.73,0.64,4.36,60.5,0.55,0.91,0,0,0,0,0,1.09,1.55,66.7,0,0,0.09
DF,25,2,106,0.83,0.83,0.83,100,1,1,9.1,0,0,0,44.2,53.3,889.2,422.5,18.3,18.3,17.5,21.7,6.67,9.17,0,1.67,2.5,2.5,0.83,5,53.3,0,0,0,0,0,0,0,0.83,2.5,20,0,0,0
FW,21,12,867,0.73,2.92,1.35,46.4,0.18,0.38,16,0.1,0.21,0.21,12.2,16.8,179,41.3,6.56,8.33,4.27,5.42,0.52,1.25,0.1,0.83,0.83,0.52,0.1,1.04,16.8,0.1,0.52,0.1,0.31,0.1,0.1,0,0.21,4.9,42.3,0.21,0,0
DF,32,6,330,0,0,0,0,0,0,0,0,0,0,31.4,41.4,563.8,228.6,13.5,15.1,14.9,18.1,2.7,6.49,0,0.27,1.89,0.27,0.27,2.7,41.4,0,1.08,0,0,0.27,0,0,2.16,0,50,0,0,0
FW,26,12,1061,0.34,2.2,0.85,38.5,0.15,0.4,16.3,0,0,0,35.5,45.5,513,144,22.5,26.9,10.4,12.4,1.95,3.9,0.25,1.27,2.29,1.44,0.25,3.39,45.5,0.17,0.17,0.25,0.17,0,0,0,0.76,5.08,34.4,0,0,0
FW,29,9,390,0,3.49,1.63,46.7,0,0,14.1,0,0,0.23,12.1,16,150.5,27.4,7.21,9.07,3.26,4.88,0.47,0.7,0,0.47,0.23,0.7,0,1.16,16,0,0.23,0,0,0,0,0,0.7,6.98,50,0,0,0
FWMF,21,11,728,0,1.73,0.49,28.6,0,0,20.3,0,0,0,11.7,18.9,177,59.8,6.67,9.26,3.83,6.17,0.74,1.6,0.12,0.49,0.99,0.86,0.37,1.36,18.9,0.12,0.62,1.48,0.37,0,0.12,0,1.48,3.46,59.5,0,0,0
MF,27,11,749,0.24,1.2,0.48,40,0.2,0.5,21.9,0,0,0,28.8,39.3,523.5,164.6,12.2,14.1,12,14.7,3.37,7.11,0,1.69,2.05,1.45,0.6,3.49,39.3,0.24,1.08,0,0.12,0.12,0,0,2.29,1.57,57.1,0,0,0
FW,30,8,390,0.23,2.56,0.7,27.3,0.09,0.33,15.5,0,0,0,16.5,27.4,315.3,119.3,6.28,9.77,7.67,10,2.33,6.51,0,1.16,1.63,0.7,0.23,2.33,27.4,0,1.4,0,0,0.23,0,0,1.86,3.49,33.3,0,0,0
MF,24,12,431,0,0.42,0.21,50,0,0,17.6,0,0,0,32.3,38.1,601.3,135.4,13.5,15,14,15.6,3.96,5.63,0,1.04,2.92,1.04,0,3.54,38.1,0.21,0,0.21,0.42,0,0,0,2.29,1.04,62.5,0,0,0
MF,27,1,25,0,0,0,0,0,0,0,0,0,0,36.7,46.7,533.3,63.3,20,30,16.7,16.7,0,0,0,0,6.67,0,0,3.33,46.7,0,3.33,0,0,0,0,0,0,0,0,0,0,0
MF,27,9,608,0,1.03,0,0,0,0,20,0,0,0,28.8,36.3,490.1,106.6,14.6,16,10.9,13.8,2.79,4.41,0,0.59,3.24,0.74,0,2.35,36.3,0,1.32,0,0,0,0,0,0.74,3.09,66.7,0,0,0
MF,28,7,316,0,0.57,0,0,0,0,24,0,0,0,41.4,48.9,808.3,150.6,15.4,16.9,20.6,24.6,5.43,6.57,0.29,0.86,3.71,0.29,0,2.86,48.9,0,0.86,0,0,0,0,0,1.43,0.86,0,0,0,0
FWMF,20,7,81,0,1.11,0,0,0,0,8.5,0,0,0,25.6,32.2,444.4,127.8,16.7,18.9,4.44,7.78,3.33,4.44,0,0,2.22,2.22,0,6.67,32.2,0,0,0,0,1.11,0,0,6.67,11.1,20,0,0,0
DF,21,12,837,0,0.22,0,0,0,0,18.3,0,0,0,41.9,52.4,682,237.6,23,24.8,14.4,17.1,3.87,7.42,0,0.32,1.18,0.97,0.32,2.69,52.4,0.11,0.75,0,0,0,0,0,2.37,0.86,50,0,0,0
MF,25,8,207,0,0.43,0,0,0,0,13,0,0,0,31.7,40,599.1,123.5,13,15.2,13,17,4.78,5.65,0,0.43,2.61,0.43,0,2.17,40,0,0,0,0,0.43,0,0.43,3.04,0.87,100,0,0,0
MF,25,11,941,0.38,1.05,0.67,63.6,0.36,0.57,18.2,0.1,0,0,38.9,49.5,680,230.1,18.9,22,15.5,18.6,3.81,6.76,0.38,1.62,4.1,1.81,0.29,5.24,49.5,0.38,0.76,0.19,0.19,0,0.19,0,1.62,3.24,58.8,0,0,0
MF,25,4,154,0.59,0.59,0.59,100,1,1,19.7,0,0,0,23.5,38.2,404.7,75.9,15.3,19.4,5.88,10.6,2.35,6.47,0,0.59,1.18,1.18,0,2.35,38.2,0,0,0,0,0,0,0,0,5.29,45.5,0,0,0
MFFW,28,6,316,0,2,0.29,14.3,0,0,21.7,0.29,0,0,29.7,37.4,505.7,131.7,14,15.4,12.6,15.4,2.29,4.29,0,2.57,2.29,0.57,0.29,2.86,37.4,0,0.57,0.57,0,0.29,0,0,1.71,1.71,80,0,0,0
MF,24,3,29,0,0,0,0,0,0,0,0,0,0,40,60,620,193.3,16.7,26.7,13.3,23.3,3.33,3.33,0,0,0,0,0,3.33,60,3.33,3.33,0,0,0,0,0,3.33,3.33,50,0,0,0
MFFW,24,10,816,0.44,2.53,1.1,43.5,0.17,0.4,15.7,0,0,0,20.5,26.7,273.6,96.9,13.7,16,5.82,8.13,0.55,1.32,0,0.44,1.21,1.1,0.22,2.86,26.7,0,0.22,0,0.11,0,0,0,0.99,4.4,28.6,0,0,0
MF,22,10,471,0,1.35,0.77,57.1,0,0,15.4,0,0,0,15.6,22.7,200.8,50.6,9.23,11.7,4.62,6.92,0.38,1.73,0,0.77,0.96,0.38,0.19,1.35,22.7,0.38,0.19,0,0.19,0.19,0,0,2.31,2.69,50,0,0,0
FWMF,20,4,62,0,1.43,0,0,0,0,18.1,0,0,0,25.7,28.6,284.3,81.4,17.1,17.1,4.29,4.29,1.43,2.86,0,0,2.86,0,0,1.43,28.6,0,0,0,0,0,0,0,4.29,4.29,60,0,0,0
MF,31,4,144,0,1.25,0,0,0,0,21.5,0.63,0,0,28.8,36.9,483.8,145.6,15,16.9,10.6,11.9,3.13,6.88,0,3.13,2.5,2.5,0.63,3.75,36.9,0,1.25,0,0,0,0,0,3.75,0.63,37.5,0,0,0
FWMF,23,7,475,0.38,3.96,0.75,19,0.1,0.5,23.8,0,0,0,22.6,32.1,488.3,146.6,9.43,11.5,6.6,8.68,5.66,10,0.19,1.89,2.26,1.32,0.75,2.26,32.1,0.19,1.51,0.19,0,0,0,0,0.75,2.26,33.3,0,0,0
DF,26,11,990,0,0.64,0,0,0,0,8.7,0,0,0,28,34.6,702.5,230.7,5.18,5.64,15.4,17,7.27,11.4,0,0,2.09,0,0,1.64,34.6,0.18,1.27,0,0,0,0,0,1.64,1,0,0,0,0
MF,25,7,159,0,1.67,1.67,100,0,0,23.7,0,0,0,32.8,46.1,493.9,95.6,16.7,17.8,13.9,17.2,1.11,7.78,0,1.11,3.33,0.56,0.56,1.67,46.1,0,1.11,0,0.56,0,0,0,2.22,3.89,0,0,0,0
DF,23,8,499,0,0.55,0.36,66.7,0,0,16,0,0,0,64,72.9,1419.5,486.5,18.2,18.9,30.7,33.5,14.2,19.1,0,0.91,5.82,1.45,0.55,4.55,72.9,0.73,0.73,0,0,0,0,0,1.64,1.09,80,0,0,0
MFDF,25,9,690,0.26,1.3,0.26,20,0.2,1,23.6,0,0,0,28.4,43.2,514.5,178.6,13,15.3,10.9,15.3,3.51,9.09,0.13,1.82,2.34,0.78,0.39,2.21,43.2,0,1.04,0.13,0.13,0,0.13,0,3.64,1.69,53.3,0,0,0
MF,31,9,543,0,0.33,0,0,0,0,16.2,0,0,0,26.5,32,481.2,129.5,10.7,11.8,12.8,15,2.67,4,0,0,2.5,0.17,0,2.33,32,0.33,0.17,0,0.17,0,0,0,2.67,0.83,50,0,0.33,0
DF,22,10,813,0,0.67,0,0,0,0,7.9,0,0,0,24.4,33.2,578.9,217.3,6.44,8.11,11.7,13.7,6.11,10.9,0,0.11,2,0,0,2.22,33.2,0.11,0.67,0,0,0,0,0,2,1,0,0,0.11,0
GK,32,11,990,0,0,0,0,0,0,0,0,0,0,34.6,44.5,940.1,544.7,7.73,7.73,16.4,16.6,10.1,19.5,0,0.18,1,0,0,0,44.5,0.27,1.45,0,0,0,0,0,0,0,0,0,0,0
DF,26,3,224,0,1.2,0.8,66.7,0,0,10.7,0,0,0,41.2,50.4,859.2,291.6,10.8,12.4,23.6,25.6,6.4,11.6,0,0.8,4,1.2,0.8,4.4,50.4,0,2,0,0,0,0,0,2,1.2,0,0,0,0
MF,34,3,68,0,1.25,0,0,0,0,5,0,0,0,42.5,50,980,213.8,13.8,16.3,17.5,18.8,11.3,15,0,0,3.75,1.25,0,3.75,50,0,1.25,0,0,0,0,0,1.25,1.25,100,0,0,0
MFFW,23,11,790,0.23,2.95,0.8,26.9,0.08,0.29,15.4,0,0,0,25,34.7,428.1,106.9,11.2,14.3,10.3,12.7,2.16,3.86,0.11,0.8,1.93,1.02,0,2.73,34.7,0.34,0.68,0,0.57,0.11,0,0,1.02,4.43,57.1,0.23,0,0
MF,26,11,658,0.14,1.37,0.41,30,0.1,0.33,14.3,0,0,0,18.6,30,283.2,114.8,11.1,15.1,5.62,8.63,1.37,3.84,0,0.27,1.51,0.41,0,3.15,30,0,0.96,0,0.14,0.27,0,0,2.19,2.6,50,0,0,0
GK,20,12,1080,0,0,0,0,0,0,0,0,0,0,22.7,37.9,807.9,533.2,2.5,2.5,10,10.1,10.2,25.3,0,0.17,2.25,0.08,0,0.08,37.9,0.08,1.08,0,0,0,0,0,0,0,0,0,0,0
FWMF,32,4,60,0,5.71,0,0,0,0,32.3,0,0,0,27.1,52.9,627.1,164.3,10,12.9,8.57,20,8.57,14.3,0,2.86,2.86,0,0,2.86,52.9,1.43,1.43,0,0,0,0,0,1.43,1.43,33.3,0,0,0
DF,26,9,782,0.11,0.69,0.11,16.7,0.17,1,6.7,0,0,0,38.5,47.8,804.3,312.6,13,14,18.4,21.1,6.44,10.2,0.11,0.46,1.61,0,0,2.53,47.8,0.11,0.69,0,0.11,0,0,0,3.22,1.84,100,0,0,0
DF,23,3,20,0,0,0,0,0,0,0,0,0,0,40,55,1055,625,15,15,15,20,10,20,0,0,10,0,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,17,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,27,11,799,0.67,2.25,1.24,55,0.3,0.55,19.7,0,0,0,14.8,23.8,286.4,80.4,5.73,8.2,5.62,8.09,2.7,4.27,0.34,2.25,0.67,2.81,1.8,2.13,23.8,0,0.56,0.22,0,0.11,0,0,0.22,3.93,40,0,0,0
DF,26,2,91,0,0,0,0,0,0,0,0,0,0,55,61,1331,360,10,10,32,34,13,15,0,0,3,0,0,4,61,0,0,0,0,0,0,0,3,0,0,0,0,0
DF,26,2,159,0,0.56,0,0,0,0,7,0,0,0,38.3,42.8,769.4,208.9,12.2,12.2,21.7,22.8,3.89,7.22,0,0.56,1.11,0,0,1.11,42.8,0,1.11,0,0,0,0,0,1.11,1.11,0,0,0,0
